05月11日 22:01	高中数学逗逼教师	严书记离婚了...千万豪宅＋1万1月的幼儿园 看看吧。 O严书记离婚了...千万豪宅＋1万1月的幼儿园 https://bbs.hupu.com/22233249.html ​
05月11日 22:01	山雨欲度风满楼	呵呵，我的评论不就是点赞的人多了点么？至于给我强制删除？我看看你会不会给我把账号封了我爸是李刚，砍人不心慌；我爸严书记，毁人无痕迹。#金苹果 严书记# ​
05月12日 00:43	许瘦儿sunny	严书记，严夫人了解一下（政府不要包庇，不要说谎，不要灭音） ​
05月12日 00:43	秋叶随风飘荡	幼儿园老师惩罚“严书记”孩子被开除？校方：没开除_手机凤凰网 O幼儿园老师惩罚“严书记”孩子被开除？校方：没开除看来这位副书记有堂抢了，射击的是她老婆 ​
05月12日 00:36	Happy老夏	严书记不让转发和评论 2遵义 · 人民路 ​
05月12日 00:23	Mine39654	#严书记的女儿#评论几千万也上不了热搜的严书记威武 ​
05月12日 00:22	文馨olivia	看看新浪这个热搜，每一个是国人关注的，严书记给你们多少钱啊，封口费不少收吧 ​
05月12日 00:14	风中灵珠	原来严书记说这个 ​
05月12日 00:12	二分之一素	十点就开始准备入睡，失眠到现在。刷了下微博，空姐遇害、严书记的女儿，性别歧视……越思考越怀疑人类文明进化的意义。 ​
05月12日 00:09	风中灵珠	《【舆情观察】关于严书记舆情的分析以及处置思考……》在朋友圈发了一条消息说：严书记就这样火了……祸从口出。可以看到，消息一发出，很多朋友都在说，这个事件...O网页链接 ​
05月12日 00:08	育儿的小沪口	“你对严书记的女儿说这话是什么意思？” ​
05月12日 00:02	水月镜花未必梦镜花水月一场空	严书记是啥 ​
05月12日 00:02	淡宕也愚	关于“严书记”的新闻特别引起我的关注，本不是大事儿，却引起不小舆论。“书记”不论大小，代表的是党和政府的形象，他有再小的问题也能影响民众对体制的信任，导致官民之间的对立。因为信息的不够公开和种种特权的存在，才会导致一件小事影响整个大局、一个小人物影响整个群体的局面的出现。如果公 ​ 展开全文c
05月12日 02:53	宁宁宁宁Mayday	今天刷微博简直是气死了，在国内当老师真的一点都不好。我今天就发了这条微博了。。严书记很厉害啦～ 你女儿在幼儿园打人了，我觉得老师的处理没有不当，竟然被开除了。怕怕哦。新浪来吧。。删掉吧～ 真的很生气了。。垃圾～ 2美国·波特兰 ​
05月12日 02:31	请叫我夏小妞	严书记 ​
05月12日 02:20	今天唐七道歉了美	哇，看这聊天记录还以为是在演电视剧，严夫人的新闻撤的也太快了吧“你让严书记的夫人上热搜是什么意思？”新浪也是真的怂 ​
05月12日 02:11	我是一张记录坏心情的废纸	#严夫人#给每个严夫人都点赞了！让她和她的严书记好好火🔥一把！ ​
05月12日 02:08	窗外正是蔚蓝天11308	#严夫人##严夫人# 严夫人，金苹果幼儿园，严书记，花式上热搜，我就试试这条会不会被删 ​
05月12日 02:06	陆军七十四师	1点都准备睡觉了，突然刷到 严书记 ！害得我又2点多睡了 ​
05月12日 04:46	大车好	幼儿园老师惩罚“严书记”孩子被开除？校方：没开除_手机凤凰网 O幼儿园老师惩罚“严书记”孩子被开除？校方：没开除 ​
05月12日 04:33	东海小龙王	[夜读]幼儿园老师惩罚“严书记”孩子被开除？校方：没开除 O[夜读]幼儿园老师惩罚“严书记”孩子被开除？校方：没开除 ​
05月12日 06:53	天真的轮回	幼儿园老师惩罚“严书记”孩子被开除？校方：没开除_手机凤凰网 O幼儿园老师惩罚“严书记”孩子被开除？校方：没开除 ​
05月12日 06:50	暗海独乐	？严书记又是什么人 孤陋寡闻 ​
05月12日 06:43	爱W_forever	严夫人上热搜了😱昨天金苹果幼儿园的热搜下的那么快 也不知道严夫人能挺多久其实官僚主义的存在大家一向心知肚明，但像她表现得这么张扬的真的是……私以为 这位严夫人如果不是长了脑子没长脑仁 那就一定是严书记的zheng敌安插在他身边潜藏多年的卧底 ​
05月12日 06:32	V去痛片	【幼儿园老师惩罚＂严书记＂女儿被开除？校方回应】宣传法制，执行吏治，官就是一切。 O幼儿园老师惩罚"严书记"女儿被开除？校方回应 ​
05月12日 06:30	想了就干呗	严书记的女儿在幼儿园总是打人，别的小朋友总被欺负，老师批评教育一下，严书记的老婆很生气，瞬间把老师开除了！然后呢，学校辟谣说没开除！看来，严夫人在家长群里是瞎扯蛋。好吧，这都是小事。然后呢，又有网友说，严书记的老婆在群里炫耀，女儿已经是名校的“内定生”！这就明显涉嫌腐败了，至少 ​ 展开全文c
05月12日 06:29	二光头	严夫人很生气，后果很严重！后果就是学校要开除老师。严书记，要不你回家劝劝你夫人？O网页链接 L凤凰网视频的秒拍视频 2金华 · 财富广场 ​
05月12日 06:13	碗里有根鱼	这类人必须让她火，火能烧好大就烧好大这个严书记，是不是也该查一查呢 O网页链接成都发布 @成都那点小事 @成都全接触 @成都商报 @成都生活快报 @成都头条 @成都晚报 @成都同城 @成都资讯 2成都 · 华阳 ​
05月12日 08:56	榆木犀利	#广安严书记#严书记家的小公举，好怕怕哦﻿⊙∀⊙！ ​
05月12日 08:54	一亿定行	#腾讯新闻# 幼儿园老师得罪“严书记”女儿被开除？网友追问“严书记”是谁？O网页链接 来自@腾讯新闻客户端 ​
05月12日 08:52	纵酒泼茶	#严书记##严夫人# 身为学学前的学生，对这种事情表示寒心。小孩子打别的孩子，身为老师是一定要管的。当然最重要的是家长的引导，本来小孩子就有是非观了，家长再这样惯，一家人三观都歪了。本来选学前专业就是为了能多陪陪天真的孩子，少和社会弯弯绕。我错了 ​
05月12日 08:52	哒哒哒哒哒哒大	#严夫人#你们热搜撤的这么快，简直就是在挑战网友，有请严书记@新浪视频 @共青团中央 @中央金融团工委 @央视新闻 @央视一套 ​
05月12日 08:46	东邪西毒-欧阳锋	我爸是李刚之 我女儿的爸爸是严书记！ ​
05月12日 08:46	绿色猛兽	#严夫人#严书记该管管你家内政了 ​
05月12日 08:45	月下飞鸟呵	以后小朋友被老师欺负，就说老爸是书记# 腾讯新闻 # 《幼儿园老师得罪“严书记”女儿被开除？网友追问“严书记”是谁？》O网页链接 来自@腾讯新闻客户端， ​
